,price,qty
900,7.56,92.35
901,7.562,0.67
902,7.6,1568.44
903,7.629,25.0
904,7.632,10.24
905,7.64,0.66
906,7.65,29.73
907,7.654,1.0
908,7.658,3.83
909,7.69,959.29
910,7.7,236.77
911,7.703,18.76
912,7.75,268.85
913,7.77,238.38
914,7.8,373.18
915,7.849,63.99
916,7.856,50.0
917,7.858,225.82
918,7.86,27.97
919,7.88,189.9
920,7.9,1932.17
921,7.91,202.88
922,7.92,65.14
923,7.94,20.22
924,7.943,76.82
925,7.95,1073.78
926,7.954,82.44
927,7.979,129.21
928,7.98,20.25
929,7.988,197.8
930,7.99,45.31
931,7.999,62.35
932,8.0,15682.81
933,8.002,2.27
934,8.018,3.75
935,8.1,3851.77
936,8.165,3.83
937,8.18,36.67
938,8.2,105.0
939,8.224,1.0
940,8.3,478.79
941,8.333,1.84
942,8.339,206.08
943,8.343,32.96
944,8.36,0.6
945,8.4,194.25
946,8.41,178.4
947,8.42,119.36
948,8.5,396.59
949,8.599,13.2
950,8.6,904.36
951,8.63,29.83
952,8.65,6.44
953,8.654,1.0
954,8.673,3.83
955,8.686,42.17
956,8.7,272.55
957,8.72,0.58
958,8.75,482.79
959,8.76,6.4
960,8.8,11598.77
961,8.85,9.82
962,8.856,50.0
963,8.87,5.55
964,8.88,3025.14
965,8.888,1000.0
966,8.89,32.23
967,8.9,7417.31
968,8.94,16.77
969,8.95,293.98
970,8.977,144.2
971,8.98,132.42
972,8.99,741.42
973,9.0,6888.76
974,9.014,2.42
975,9.05,17.2
976,9.064,999.96
977,9.08,0.56
978,9.09,792.39
979,9.1,247.34
980,9.14,109.51
981,9.181,3.83
982,9.2,1739.23
983,9.224,1.0
984,9.3,87.44
985,9.389,69.45
986,9.41,222.52
987,9.44,0.53
988,9.45,768.36
989,9.497,2.84
990,9.5,14090.88
991,9.545,71.56
992,9.6,90.41
993,9.612,207.19
994,9.63,4.77
995,9.654,1.0
996,9.68,8.64
997,9.688,3.83
998,9.69,193.0
999,9.694,3.09
1000,9.7,191.22
1001,9.75,102.82
1002,9.765,4.27
1003,9.778,200.0
1004,9.79,1966.47
1005,9.8,4064.09
1006,9.85,163.29
1007,9.856,50.0
1008,9.87,22.81
1009,9.88,680.39
1010,9.885,1012.7
1011,9.888,106.82
1012,9.89,534.69
1013,9.891,300.0
1014,9.897,778.45
1015,9.9,2936.2
1016,9.92,18.36
1017,9.938,431.61
1018,9.95,153.18
1019,9.968,10.17
1020,9.977,154.38
1021,9.98,152.84
1022,9.981,19.28
1023,9.99,357.03
1024,9.999,505.1
1025,10.0,124676.85
1026,10.1,1107.02
1027,10.15,10.39
1028,10.16,0.5
1029,10.196,3.83
1030,10.2,33.0
1031,10.3,38.93
1032,10.5,227.46
1033,10.52,0.48
1034,10.6,6937.66
1035,10.654,1.0
1036,10.7,33.97
1037,10.703,3.83
1038,10.75,93.16
1039,10.769,21.5
1040,10.791,484.85
1041,10.797,5.07
1042,10.856,50.06
1043,10.864,8.47
1044,10.865,43.47
1045,10.88,0.46
1046,10.9,93.21
1047,10.97,20.25
1048,11.0,12073.33
1049,11.2,1004.68
1050,11.211,3.83
1051,11.24,0.45
1052,11.5,24.3
1053,11.6,104.97
1054,11.654,0.5
1055,11.718,3.83
1056,11.777,35.87
1057,11.78,32.23
1058,11.8,741.65
1059,11.89,300.0
1060,11.95,3011.19
1061,11.96,0.42
1062,12.0,5645.76
1063,12.21,82.08
1064,12.226,3.83
1065,12.32,0.41
1066,12.33,2506.81
1067,12.654,0.5
1068,12.68,0.4
1069,12.7,105.58
1070,12.734,3.83
1071,12.88,6.46
1072,12.9,458.42
1073,12.951,2.33
1074,12.99,385.53
1075,13.0,1342.29
1076,13.04,0.39
1077,13.23,8.77
1078,13.241,3.83
1079,13.3,215.0
1080,13.333,150.34
1081,13.37,186.65
1082,13.4,0.38
1083,13.5,21.17
1084,13.55,222.53
1085,13.594,4.0
1086,13.6,63.02
1087,13.603,3.8
1088,13.654,0.5
1089,13.69,78.44
1090,13.7,28277.73
1091,13.75,141.6
1092,13.76,0.37
1093,13.812,4795.7
1094,13.839,1373.36
1095,13.85,139.56
1096,13.9,20.0
1097,13.96,20.25
1098,14.0,3827.7
1099,14.1,46.61
1100,14.12,0.36
1101,14.19,2.4
1102,14.2,71.8
1103,14.21,12.41
1104,14.3,15215.89
1105,14.442,4157.83
1106,14.48,0.35
1107,14.481,69.06
1108,14.654,0.4
1109,14.661,187.65
1110,14.7,120.18
1111,14.77,37.5
1112,14.8,25.59
1113,14.84,0.34
1114,14.88,1036.35
1115,14.9,38.51
1116,14.94,636.43
1117,14.98,0.35
1118,15.0,41665.57
1119,15.04,332.7
1120,15.1,202.94
1121,15.15,343.2
1122,15.2,309.7
1123,15.5,516.19
1124,15.654,0.49
1125,15.697,15.91
1126,15.699,6.37
1127,15.9,69.25
1128,16.0,100.45
1129,16.3,179.08
1130,16.4,1000.0
1131,16.42,0.42
1132,16.614,0.4
1133,16.96,28.04
1134,17.0,1984.64
1135,17.3,1.13
1136,17.614,0.4
1137,17.65,0.63
1138,18.0,28450.21
1139,18.3,1243.69
1140,18.36,0.99
1141,18.4,210.93
1142,19.0,2807.93
1143,19.09,1000.72
1144,19.2,3082.1
1145,19.26,7454.61
1146,19.39,17.74
